,Date;Open;High;Low;Close;Volume
101,2006.05.14 00:00;712.7;719.7;650.6;657.2;16307
102,2006.05.21 00:00;655.1;674.5;635.6;651.2;10315
103,2006.05.28 00:00;651.5;664.6;618.7;637.7;8165
104,2006.06.04 00:00;638.5;645.1;600.6;607.1;15115
105,2006.06.11 00:00;604.7;611.2;542.5;580.6;14154
106,2006.06.18 00:00;579;594.7;560.7;583;7805
107,2006.06.25 00:00;584;616;576.7;615.2;5604
108,2006.07.02 00:00;617;637;614.1;628.7;3372
109,2006.07.09 00:00;628.5;667.2;620.2;663.6;5542
110,2006.07.16 00:00;670.1;676;615.7;619.2;6529
111,2006.07.23 00:00;618.1;640.2;602.1;634.2;5131
112,2006.07.30 00:00;637;655.5;629;646;4754
113,2006.08.06 00:00;646;654.6;626.2;632;4736
114,2006.08.13 00:00;628.7;632.7;607;614.2;4654
115,2006.08.20 00:00;614.7;630;613.2;622;4582
116,2006.08.27 00:00;623;627.5;607.2;624.7;4509
117,2006.09.03 00:00;628.7;640.2;606.2;610.2;6089
118,2006.09.10 00:00;608.7;608.7;570.2;578.7;16051
119,2006.09.17 00:00;582.2;592.2;571.7;589.1;16964
120,2006.09.24 00:00;588.6;606.5;581.7;597.7;9242
121,2006.10.01 00:00;598.2;603.6;559.2;573.2;18276
122,2006.10.08 00:00;574.6;589.7;568.7;589.6;13045
123,2006.10.15 00:00;592.7;602;585.7;591.1;11641
124,2006.10.22 00:00;590.5;599.7;572.2;599.2;14831
125,2006.10.29 00:00;598.2;629;597.6;626.9;15986
126,2006.11.05 00:00;628.2;636.2;612.7;628.2;19249
127,2006.11.12 00:00;628.2;632.2;614.2;621.2;17763
128,2006.11.19 00:00;620.7;634.2;619.7;627.9;8039
129,2006.11.26 00:00;640.5;649.6;632.5;645;12725
130,2006.12.03 00:00;647;648.2;622.7;624.6;16158
131,2006.12.10 00:00;625;630.7;614.1;614.7;11522
132,2006.12.17 00:00;615.6;624.2;611.1;619.2;9991
133,2006.12.24 00:00;624.5;636.2;623.2;636.2;5380
134,2006.12.31 00:00;638.2;644.7;601.5;606.7;11150
135,2007.01.07 00:00;608.2;627.2;603.2;626.5;14964
136,2007.01.14 00:00;625.6;636.2;619.7;634.7;11437
137,2007.01.21 00:00;635.2;654.2;631.6;645.5;14043
138,2007.01.28 00:00;647.1;661;640.7;647.2;12321
139,2007.02.04 00:00;648.6;668.6;645.7;666.2;11928
140,2007.02.11 00:00;666.6;671.5;659.6;668.5;17784
141,2007.02.18 00:00;667.7;688;655.3;682;15719
142,2007.02.25 00:00;683.3;688.1;639.1;642;26389
143,2007.03.04 00:00;643.2;657.7;632.5;648.7;24171
144,2007.03.11 00:00;650.1;655.1;636.5;652.7;17966
145,2007.03.18 00:00;653.7;666.3;651.7;656.9;15701
146,2007.03.25 00:00;657.2;669;655;663.2;16450
147,2007.04.01 00:00;664.5;675.3;655.9;673.9;17725
148,2007.04.08 00:00;670.6;685.4;670.3;684.6;18398
149,2007.04.15 00:00;686.6;693.2;678.7;691.3;20276
150,2007.04.22 00:00;692.8;693.3;670.4;680.9;21086
